place_or_organization,roster_home,municipal_operator,community,match_status,match_method
City of Toronto — Bendale Acres,Bendale Acres,City of Toronto,Scarborough,matched,exact_name
City of Toronto — Carefree Lodge,Carefree Lodge,City of Toronto,North York,matched,exact_name
City of Toronto — Castleview Wychwood Towers,Castleview Wychwood Towers,City of Toronto,Toronto,matched,exact_name
City of Toronto — Cummer Lodge,Cummer Lodge,City of Toronto,North York,matched,exact_name
City of Toronto — Fudger House,Fudger House,City of Toronto,Toronto,matched,exact_name
City of Toronto — Kipling Acres,Kipling Acres,City of Toronto,Etobicoke,matched,exact_name
City of Toronto — Lakeshore Lodge,Lakeshore Lodge,City of Toronto,Etobicoke,matched,exact_name
City of Toronto — Seven Oaks,Seven Oaks,City of Toronto,Scarborough,matched,exact_name
City of Toronto — True Davidson Acres,True Davidson Acres,City of Toronto,East York,matched,exact_name
City of Toronto — Wesburn Manor,Wesburn Manor,City of Toronto,Etobicoke,matched,exact_name
City of Ottawa — Carleton Lodge,Carleton Lodge,City of Ottawa,Nepean,matched,exact_name
City of Ottawa — Centre d’acceuil Champlain,Centre d'accueil Champlain,City of Ottawa,Ottawa,matched,fuzzy_review
City of Ottawa — The Armstrong Home,Garry J. Armstrong Home,City of Ottawa,Ottawa,matched,fuzzy_review
City of Ottawa — Peter D. Clark Centre,Peter D. Clark Centre,City of Ottawa,Ottawa,matched,exact_name
City of Hamilton — Macassa Lodge,Macassa Lodge,City of Hamilton,Hamilton,matched,exact_name
City of Hamilton — Wentworth Lodge,Wentworth Lodge,City of Hamilton,Dundas,matched,exact_name
Dearness Home (Ont.),Dearness Home for Senior Citizens,City of London,London,matched,fuzzy_review
Huron Lodge (Ont.),Huron Lodge,City of Windsor,Windsor,matched,exact_name
Pioneer Manor Long Term Care Facility (Ont.),Pioneer Manor,City of Greater Sudbury,Sudbury,matched,fuzzy_review
City of Thunder Bay — Pioneer Ridge,Pioneer Ridge,City of Thunder Bay,Thunder Bay,matched,exact_name
Golden Manor Home for the Aged (Ont.),Golden Manor,City of Timmins,Timmins,matched,fuzzy_review
Victoria Manor (Ont.),Victoria Manor Home for the Aged,City of Kawartha Lakes,Lindsay,matched,manual_verified_name
Grandview Lodge (Ont.),Grandview Lodge / Dunnville,Haldimand County,Dunnville,matched,fuzzy_review
Norview Lodge (Ont.),Norview Lodge,Norfolk County,Simcoe,matched,exact_name
John Noble Home (Ont.),John Noble Home,City of Brantford and County of Brant,Brantford,matched,exact_name
Riverview Gardens (Ont.),Riverview Gardens,The Municipality of Chatham-Kent,Chatham,matched,exact_name
Fairhaven (Ont.),Fairhaven,City and County of Peterborough,Peterborough,matched,exact_name
Fairmount Home (Ont.),Fairmount Home,County of Frontenac,Glenburnie,matched,exact_name
Glen Stor Dun Lodge (Ont.),Glen-Stor-Dun Lodge,City of Cornwall and United Counties of Stormont Dundas and Glengarry,Cornwall,matched,exact_name
County of Hastings — Hastings Manor,Hastings Manor Home for the Aged,County of Hastings,Belleville,matched,fuzzy_review
County of Hastings — Hastings Centennial Manor,Hastings Centennial Manor,County of Hastings,Bancroft,matched,exact_name
H. J. McFarland Memorial Home (Ont.),H.J. McFarland Memorial Home,County of Prince Edward,Picton,matched,exact_name
Region of Durham — Fairview Lodge,Fairview Lodge,Regional Municipality of Durham,Whitby,matched,exact_name
Region of Durham — Hillsdale Estates,Hillsdale Estates,Regional Municipality of Durham,Oshawa,matched,exact_name
Region of Durham — Hillsdale Terraces,Hillsdale Terraces,Regional Municipality of Durham,Oshawa,matched,exact_name
